date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:08	98698/98698	---M-Z	200	added ('OK')	text/html	etag:%227cc1e5e-1818a-579993b830a4d-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html	(from )
12:17:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202020%2006:17:19%20GMT	http://htmlmystore.justthemevalley.com/robots.txt		(from )
12:17:09	894/894	---M--	200	added ('OK')	image/x-icon	etag:%227cc1e5b-37e-579993b654526%22	http://htmlmystore.justthemevalley.com/newlook/version4/favicon.ico	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/favicon.ico	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:11	121200/121200	---M--	200	added ('OK')	text/css	etag:%227ce0229-1d970-579998ab6e74b%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/bootstrap.min.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/bootstrap.min.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:11	31078/31078	---M--	200	added ('OK')	text/css	etag:%227ce0234-7966-579998abdccee%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/font-awesome.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/font-awesome.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:12	11134/11134	---M--	200	added ('OK')	text/css	etag:%227ce0241-2b7e-579998aeba74b%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/simple-line-icons.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/simple-line-icons.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:13	1469/1469	---M--	200	added ('OK')	text/css	etag:%227ce023b-5bd-579998acae09c%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/owl.carousel.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/owl.carousel.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:13	1667/1667	---M--	200	added ('OK')	text/css	etag:%227ce023a-683-579998ad033e6%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/owl.theme.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/owl.theme.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:13	4476/4476	---M--	200	added ('OK')	text/css	etag:%227ce023f-117c-579998ad6d339%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/owl.transitions.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/owl.transitions.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:14	62122/62122	---M--	200	added ('OK')	text/css	etag:%227ce0226-f2aa-579998aaea9e7%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/animate.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/animate.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:15	4670/4670	---M--	200	added ('OK')	text/css	etag:%227ce022a-123e-579998ab56c62%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/flexslider.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/flexslider.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:16	17056/17056	---M--	200	added ('OK')	text/css	etag:%227ce0235-42a0-579998abf2896%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/jquery-ui.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/jquery-ui.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:16	8335/8335	---M--	200	added ('OK')	text/css	etag:%227ce0236-208f-579998ad96b4a%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/meanmenu.min.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/meanmenu.min.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:16	5655/5655	---M--	200	added ('OK')	text/css	etag:%227ce0237-1617-579998ac65c5a%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/nivo-slider.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/nivo-slider.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:18	152462/152462	---M--	200	added ('OK')	text/css	etag:%227ce024a-2538e-579998af9a171%22	http://htmlmystore.justthemevalley.com/newlook/version4/css/style.css	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/css/style.css	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:20	8044/8044	---M--	200	added ('OK')	image/jpeg	etag:%227ce02d3-1f6c-579998c598030%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-default.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-default.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:20	593/593	---M--	200	added ('OK')	image/jpeg	etag:%227ce02d4-251-579998c582488%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-english.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-english.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:20	11046/11046	---M--	200	added ('OK')	image/jpeg	etag:%227ce02d5-2b26-579998c6111b4%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-german.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-german.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:21	9173/9173	---M--	200	added ('OK')	image/jpeg	etag:%227ce02cc-23d5-579998c4cca43%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-brazil.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-brazil.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:21	8727/8727	---M--	200	added ('OK')	image/jpeg	etag:%227ce02cd-2217-579998c52bdb5%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/flag-chile.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/flag-chile.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:21	41447/41447	---M-Z	200	added ('OK')	text/html	etag:%227cc1e4c-a1e7-579993b17d4c4-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/account_page.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/account_page.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
